rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
0.8,166,0.9833186666666667,75,9400,1.37,12511,,,
0.58,168,0.9831333333333334,75,9500,1.39,12650,,,
0.34,170,0.982964,75,9600,1.27,12777,,,
0.38,171,0.9827919999999999,75,9700,1.29,12906,,,
0.44,173,0.9826159999999999,75,9800,1.32,13038,,,
0.27,175,0.9824493333333333,75,9900,1.25,13163,,,
0.53,177,0.9822706666666667,74,10000,1.34,13297,,,
0.45,179,0.9820906666666667,74,10100,1.35,13432,,,
0.64,180,0.9818973333333334,75,10200,1.45,13577,,,
0.35,182,0.9817306666666668,74,10300,1.25,13702,,,
0.8,184,0.9815266666666667,75,10400,1.53,13855,,,
0.33,186,0.9813573333333334,75,10500,1.27,13982,,,
0.75,187,0.9811559999999999,75,10600,1.51,14133,,,
0.36,189,0.9809840000000001,75,10700,1.29,14262,,,
0.39,191,0.9808079999999999,75,10800,1.32,14394,,,
0.41,193,0.9806346666666668,75,10900,1.3,14524,,,
0.49,194,0.9804573333333333,75,11000,1.33,14657,,,
0.39,196,0.98028,75,11100,1.33,14790,,,
0.44,198,0.9801066666666667,75,11200,1.3,14920,,,
0.58,200,0.9799199999999999,75,11300,1.4,15060,,,
0.74,201,0.9797199999999999,75,11400,1.5,15210,,,
0.69,203,0.9795306666666668,75,11500,1.42,15352,,,
0.58,205,0.979344,75,11600,1.4,15492,,,
0.46,206,0.9791613333333333,75,11700,1.37,15629,,,
0.59,208,0.9789746666666668,75,11800,1.4,15769,,,
0.71,210,0.9787773333333334,75,11900,1.48,15917,,,
0.6,212,0.9785853333333334,75,12000,1.44,16061,,,
0.42,214,0.9784053333333333,75,12100,1.35,16196,,,
0.4,215,0.9782280000000001,75,12200,1.33,16329,,,
0.34,217,0.9780613333333332,75,12300,1.25,16454,,,
0.41,219,0.9778906666666667,75,12400,1.28,16582,,,
0.33,221,0.9777226666666667,75,12500,1.26,16708,,,
0.26,222,0.9775573333333334,75,12600,1.24,16832,,,
0.49,224,0.9773773333333333,75,12700,1.35,16967,,,
0.4,226,0.9772053333333333,75,12800,1.29,17096,,,
0.56,228,0.9770173333333334,75,12900,1.41,17237,,,
0.61,229,0.9768253333333334,75,13000,1.44,17381,,,
0.5,231,0.9766426666666668,75,13100,1.37,17518,,,
0.44,233,0.9764666666666666,75,13200,1.32,17650,,,
0.48,235,0.976288,75,13300,1.34,17784,,,
0.5,236,0.976108,75,13400,1.35,17919,,,
0.44,238,0.975932,75,13500,1.32,18051,,,
0.47,240,0.9757506666666667,75,13600,1.36,18187,,,
0.38,242,0.9755773333333333,75,13700,1.3,18317,,,
0.45,243,0.9754039999999999,75,13800,1.3,18447,,,
0.61,245,0.97522,75,13900,1.38,18585,,,
0.45,247,0.9750426666666667,75,14000,1.33,18718,,,
0.26,249,0.9748786666666667,75,14100,1.23,18841,,,
0.54,251,0.9746933333333334,75,14200,1.39,18980,,,
0.27,252,0.9745266666666668,75,14300,1.25,19105,,,
